order,cost_DP
"[[[[[[[[[[[[[[[['k', 'mk'], 'cc'], 'cct1'], 't'], 'mi'], 'cct2'], 'it'], 'ci'], 'n'], 'pi'], 'it3'], 'an'], 'mc'], 'cn'], 'chn'], 'rt']",899
"[[[[[[[[[[[[[[[['k', 'mk'], 'cc'], 't'], 'cct1'], 'cct2'], 'mi'], 'it'], 'ci'], 'n'], 'pi'], 'it3'], 'an'], 'rt'], 'chn'], 'mc'], 'cn']",802
"['cn', [['n', [[[[[[[[[[['k', 'mk'], ['chn', 'ci']], 'mi'], 'cc'], 'cct2'], 'cct1'], 'it'], 'rt'], 'pi'], 'it3'], 'an']], ['t', 'mc']]]",784
"['t', ['cn', [['it', [[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'cct1'], 'mi'], ['ci', 'chn']], 'rt'], 'pi'], 'it3'], 'an'], 'n']], 'mc']]]",939
"[[[[[[[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'cct1'], 'mi'], 't'], 'it'], 'ci'], 'rt'], 'chn'], 'pi'], 'it3'], 'an'], 'n'], 'mc'], 'cn']",895
"[[[['cct1', [['chn', [[['mi', [[[[[[['k', 'mk'], 't'], 'cc'], 'cct2'], 'ci'], 'n'], 'an']], 'pi'], 'it3']], 'rt']], 'it'], 'mc'], 'cn']",1047
"[[[[[[[[[[[[[[[['k', 'mk'], 'cc'], 't'], 'ci'], 'n'], 'pi'], 'it3'], 'cct1'], 'mi'], 'chn'], 'it'], 'mc'], 'cn'], 'cct2'], 'rt'], 'an']",764
"[[[[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'cct1'], 'mi'], 'it'], ['ci', 'chn']], 'pi'], 'it3'], 'rt'], 'n'], 'an'], [['t', 'mc'], 'cn']]",923
"[[['t', 'mc'], 'cn'], [[['it', [[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'cct1'], 'mi'], ['ci', 'chn']], 'pi'], 'it3'], 'rt']], 'an'], 'n']]",886
"[[['t', 'mc'], 'cn'], [['it', [[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'cct1'], ['ci', 'chn']], 'rt'], 'mi'], 'pi'], 'it3'], 'an']], 'n']]",853
"[['n', [['it', [[[[[[[[['k', 'mk'], 'cc'], 'cct2'], ['ci', 'chn']], 'cct1'], 'rt'], 'mi'], 'pi'], 'it3']], 'an']], [['t', 'mc'], 'cn']]",831
"['an', [[[['mi', [[['cct1', [[['cct2', [['n', [[['k', 'mk'], 't'], 'ci']], 'cc']], 'rt'], 'chn']], 'pi'], 'it3']], 'mc'], 'cn'], 'it']]",671
"[[[['it', [['chn', [[['cct1', [['cct2', [['n', [[['k', 'mk'], 't'], 'ci']], 'cc']], 'rt']], 'pi'], 'it3']], 'mi']], 'mc'], 'cn'], 'an']",667
"['it', [[[[[[['mi', [[[[['n', [[['k', 'mk'], 't'], 'ci']], 'cc'], 'cct2'], 'chn'], 'rt']], 'pi'], 'it3'], 'cct1'], 'mc'], 'cn'], 'an']]",681
"[['an', ['cn', [[[[['mi', [[[['n', [[[['k', 'mk'], 't'], 'ci'], 'rt']], 'cc'], 'cct2'], 'chn']], 'pi'], 'it3'], 'cct1'], 'mc']]], 'it']",691
"[[[['it', [[['it3', [[[[[[['cct2', ['cc', 't']], 'mk'], 'k'], ['ci', 'chn']], 'rt'], 'pi'], 'n']], 'cct1'], 'mi']], 'an'], 'mc'], 'cn']",603
"[[['it', [[[['it3', [[[[[[['cct2', ['cc', 't']], 'mk'], 'k'], ['ci', 'chn']], 'rt'], 'n'], 'pi']], 'cct1'], 'an'], 'mi']], 'mc'], 'cn']",445
"[[[['it', [[['it3', [[[[[[['cct2', ['cc', 't']], 'mk'], 'k'], ['ci', 'chn']], 'n'], 'rt'], 'pi']], 'cct1'], 'mi']], 'an'], 'mc'], 'cn']",441
"['cn', ['mc', ['cct1', [[['it', [['it3', [[[[[[['cct2', ['cc', 't']], 'mk'], 'k'], 'ci'], 'n'], 'rt'], 'pi']], 'mi']], 'chn'], 'an']]]]",405
"['cn', [['an', ['cct1', [['it', [['it3', [[[[[[['cct2', ['cc', 't']], 'mk'], 'k'], 'ci'], 'n'], 'rt'], 'pi']], 'mi']], 'chn']]], 'mc']]",403
"[[[[[['it', [['it3', [[[[[[['cct2', ['cc', 't']], 'mk'], 'k'], 'ci'], 'n'], 'rt'], 'pi']], 'mi']], 'chn'], 'cct1'], 'mc'], 'cn'], 'an']",361
