order,cost_DP
"[[[[[[[[[[[[[[[['k', 'mk'], 'cc'], 'cct1'], 'cct2'], 'mi'], 'it'], 'ci'], 'n'], 't'], 'mc'], 'cn'], 'chn'], 'rt'], 'pi'], 'it3'], 'an']",6484
"[[['t', 'mc'], 'cn'], [[[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'mi'], 'it'], ['ci', 'chn']], 'an'], 'n'], 'rt'], 'cct1'], 'pi'], 'it3']]",3723
"[[[[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'mi'], 'it'], ['ci', 'chn']], 'rt'], 'an'], 'cct1'], 'n'], 'pi'], 'it3'], [['t', 'mc'], 'cn']]",3719
"[[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], ['chn', 'ci']], 'pi'], 'it3'], 'cct1'], 'rt'], 'n'], 'an'], ['it', [[['t', 'mi'], 'mc'], 'cn']]]",3419
"[['pi', [[[[[[[[[[[[[['k', 'mk'], 't'], 'ci'], 'n'], 'an'], 'cc'], 'cct1'], 'cct2'], 'chn'], 'mc'], 'cn'], 'mi'], 'it'], 'rt']], 'it3']",7150
"['it3', [[['chn', [[[[[[[[[[[['k', 'mk'], 't'], 'ci'], 'n'], 'an'], 'cc'], 'cct2'], 'cct1'], 'mi'], 'it'], 'mc'], 'cn']], 'rt'], 'pi']]",7210
"[[[[['t', 'mi'], 'mc'], 'cn'], 'it'], [[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'cct1'], ['chn', 'ci']], 'pi'], 'it3'], 'rt'], 'n'], 'an']]",3324
"[[[[[[[[[[[[[[[['k', 'mk'], 'mi'], 't'], 'mc'], 'cn'], 'it'], 'cc'], 'cct2'], 'cct1'], 'ci'], 'rt'], 'chn'], 'pi'], 'it3'], 'n'], 'an']",5714
"[['pi', ['rt', [[[[[[[[[[[[['k', 'mk'], 't'], 'ci'], 'n'], 'mc'], 'cn'], 'cc'], 'cct2'], 'cct1'], 'an'], 'chn'], 'mi'], 'it']]], 'it3']",7126
"[['t', ['n', [[[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'cct1'], 'mc'], 'cn'], ['chn', 'ci']], 'mi'], 'rt'], 'it'], 'pi'], 'it3']]], 'an']",6215
"[['t', ['n', [[[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'cct1'], ['chn', 'ci']], 'mc'], 'cn'], 'mi'], 'rt'], 'it'], 'pi'], 'it3']]], 'an']",5614
"[[[[[[[[[[[[[[[['k', 'mk'], 'cc'], 'cct1'], 't'], 'mc'], 'cn'], 'cct2'], 'mi'], 'it'], 'ci'], 'n'], 'pi'], 'it3'], 'chn'], 'rt'], 'an']",5891
"[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'cct1'], [['chn', 'ci'], 'n']], 'pi'], 'it3'], 'rt'], 'an'], [[[['t', 'mi'], 'mc'], 'cn'], 'it']]",3106
"[['t', ['n', [[[[[[[[[[[['k', 'mk'], ['chn', 'ci']], 'mc'], 'cn'], 'cc'], 'cct2'], 'cct1'], 'mi'], 'rt'], 'it'], 'pi'], 'it3']]], 'an']",5601
"[[[['t', ['n', [[[[[[[[[['k', 'mk'], ['chn', 'ci']], 'mc'], 'cn'], 'mi'], 'cc'], 'cct2'], 'cct1'], 'it'], 'rt']]], 'pi'], 'it3'], 'an']",4567
"[[[[[[[[[['k', 'mk'], 'cc'], 'cct2'], 'cct1'], [['chn', 'ci'], 'n']], 'pi'], 'it3'], 'rt'], 'an'], [[[['t', 'mc'], 'cn'], 'mi'], 'it']]",3086
